상품명,상품코드,자체 품목코드,품목명,품목코드
수용성 실리콘(아크씰),P0000BHG,(1)800실리콘건,실리콘 건 (PVC 컷팅),P0000BHG000B
바이오 실리콘,P0000BHF,(1)800실리B1투명,바이오 실리콘 [투명],P0000BHF000A
바이오 실리콘,P0000BHF,(1)800실리B반투명,바이오 실리콘 [반투명],P0000BHF000B
바이오 실리콘,P0000BHF,(1)800실리B백색,바이오 실리콘 [백색],P0000BHF000C
무초산형 실리콘,P0000BHE,(1)80011실리1투명,무초산형 실리콘 [투명],P0000BHE000A
무초산형 실리콘,P0000BHE,(1)800실리골드,무초산형 실리콘 [골드],P0000BHE000B
무초산형 실리콘,P0000BHE,(1)800실리밤색,무초산형 실리콘 [밤색],P0000BHE000C
무초산형 실리콘,P0000BHE,(1)80013실리백색,무초산형 실리콘 [백색],P0000BHE000D
무초산형 실리콘,P0000BHE,(1)800실리아이보리,무초산형 실리콘 [아이보리],P0000BHE000E
무초산형 실리콘,P0000BHE,(1)800실리회색,무초산형 실리콘 [회색],P0000BHE000F
무초산형 실리콘,P0000BHE,(1)800실리우드,무초산형 실리콘 [우드],P0000BHE000G
무초산형 실리콘,P0000BHE,(1)800실리흑색,무초산형 실리콘 [흑색],P0000BHE000H
무초산형 실리콘,P0000BHE,(1)800실리체리,무초산형 실리콘 [체리],P0000BHE000I
무초산형 실리콘,P0000BHE,(1)80012실리반투명,무초산형 실리콘 [반투명],P0000BHE000J
무초산형 실리콘,P0000BHE,(1)800실리콘건,실리콘 건 (PVC 컷팅),P0000BHE000K
실리콘 건,P0000BHD,(1)800실리콘건,실리콘 건,P0000BHD000A
단열재이보드(도배용 & 페인트용),P0000BHC,(1)60011이보드13도배,13T x 900 x 2400 (도배용),P0000BHC000A
단열재이보드(도배용 & 페인트용),P0000BHC,(1)60012이보드23도배,23T x 900 x 2400 (도배용),P0000BHC000B
단열재이보드(도배용 & 페인트용),P0000BHC,(1)60013이보드33도배,33T x 900 x 2400 (도배용),P0000BHC000C
단열재이보드(도배용 & 페인트용),P0000BHC,,------ 구 분 ------,P0000BHC000D
단열재이보드(도배용 & 페인트용),P0000BHC,(1)600이보드13페,13T x 900 x 2400 (페인트용),P0000BHC000E
단열재이보드(도배용 & 페인트용),P0000BHC,(1)600이보드23페,23T x 900 x 2400 (페인트용),P0000BHC000F
단열재이보드(도배용 & 페인트용),P0000BHC,(1)600이보드33페,33T x 900 x 2400 (페인트용),P0000BHC000G
낙엽송 합판 (엠보)1220 x 2440mm,P0000BGU,(1)300C1낙엽48,낙엽송 4.8T 1220x2440mm,P0000BGU000A
낙엽송 합판 (엠보)1220 x 2440mm,P0000BGU,(1)300C2낙엽75,낙엽송 7.5T 1220x2440mm,P0000BGU000B
낙엽송 합판 (엠보)1220 x 2440mm,P0000BGU,(1)300C3낙엽115,낙엽송 11.5T 1220x2440mm,P0000BGU000C
낙엽송 합판 (엠보)1220 x 2440mm,P0000BGU,(2)300D낙엽15,낙엽송 15T 1220x2440mm,P0000BGU000D
낙엽송 합판 (엠보)1220 x 2440mm,P0000BGU,(1)300E낙엽18,낙엽송 18T 1220x2440mm,P0000BGU000E
석재용 접착제 (에폭시),P0000BGS,(1)800접착에폭4,석재용 에폭시 (8kg),P0000BGS000A
석재용 접착제 (에폭시),P0000BGS,(1)800접착에폭A10,석재용 에폭시 (20kg),P0000BGS000B
다용도 스프레이 접착제 707,P0000BGR,(1)800접착777,다용도 강력스프레이 접착제,P0000BGR000A
아이소핑크(단열재 접착제) 850g,P0000BGQ,(1)800접착아이소,아이소핑크 (850g),P0000BGQ000A
스틱형 다용도 접착제(핫멜트+글루건),P0000BGN,(1)800핫멜트1심,글루심(핫멜트) 1봉지(25ea),P0000BGN000A
스틱형 다용도 접착제(핫멜트+글루건),P0000BGN,(1)800핫멜트건,글루건,P0000BGN000B
인테리어 필름 접착제(수용성 프라이머),P0000BGM,(1)800접착프라1,수용성 프라이머 1kg,P0000BGM000A
인테리어 필름 접착제(수용성 프라이머),P0000BGM,(1)800접착프라3,수용성 프라이머 3kg,P0000BGM000B
목공용 본드 205,P0000BGK,(1)800접착205,205 오공본드 (낱개),P0000BGK000A
고무나무계단재,P0000BGI,,계단재 30 x 300 x 3600,P0000BGI000A
고무나무계단재,P0000BGI,,계단재 33 x 300 x 3600,P0000BGI000B
고무나무계단재,P0000BGI,,계단재 38 x 300 x 3600,P0000BGI000C
"라왕각재라왕다루끼,한치각,심재,후지",P0000BGF,(1)100라왕한치각,라왕 30 x 30 x 3600 다루끼(한치각),P0000BGF000A
"라왕각재라왕다루끼,한치각,심재,후지",P0000BGF,(1)100라왕심재,라왕 30 x 40 x 2100 심재,P0000BGF000B
"라왕각재라왕다루끼,한치각,심재,후지",P0000BGF,(1)100라왕후지,라왕 10 x 40 x 2100 후지,P0000BGF000C
뉴송 각재,P0000BGE,(1)A100뉴송11317,39x51x3600 1단(6개),P0000BGE000A
뉴송 각재,P0000BGE,(1)A100뉴송21727,51x81x3600 1개(낱개),P0000BGE000C
뉴송 각재,P0000BGE,(1)A100뉴송32727,81x81x3600 1개(낱개),P0000BGE000D
"소송 각재(KD)다루끼,투바이,나나부",P0000BGC,(1)100소송1303012,(KD) 소송 다루끼 30x30x3600 1단,P0000BGC000A
"소송 각재(KD)다루끼,투바이,나나부",P0000BGC,(1)100소송2306912,(KD) 소송 투바이 30x69x3600 1단,P0000BGC000C
"소송 각재(KD)다루끼,투바이,나나부",P0000BGC,(1)100소송330308,(KD) 소송 다루끼 30x30x2400 1단 (8자),P0000BGC000D
"소송 각재(KD)다루끼,투바이,나나부",P0000BGC,(1)100소송4203012,(KD) 소송 나나부 20x30x3600 1단,P0000BGC000E
"소송 각재(KD)다루끼,투바이,나나부",P0000BGC,(1)100소송53030121,(KD) 소송 다루끼 30x30x3600 1개 (※낱개),P0000BGC000F
"소송 각재(KD)다루끼,투바이,나나부",P0000BGC,(1)100소송63069121,(KD) 소송 투바이 30x69x3600 1개 (※낱개),P0000BGC000G
"내수합판 (수입 KS)910x1820mm, 1220x2440mm",P0000BGB,(1)300내수21236수,12T x 910 x 1820,P0000BGB000A
"내수합판 (수입 KS)910x1820mm, 1220x2440mm",P0000BGB,(1)300내수1248수,12T x 1220 x 2440,P0000BGB000B
레드파인 집성각재솔리드,P0000BFX,(2)302제일레드45각재,45 x 45 x 2440,P0000BFX000A
레드파인 집성각재솔리드,P0000BFX,(1)302레드60각,60 x 60 x 2440,P0000BFX000B
레드파인 집성각재솔리드,P0000BFX,(2)302제일레드75각재,75 x 75 x 2440,P0000BFX000C
아카시아계단재,P0000BFW,,계단재 30 x 300 x 3600 (유절),P0000BFW000A
라왕계단재,P0000BFV,,계단재 30 x 300 x 3600mm,P0000BFV000A
라왕계단재,P0000BFV,,계단재 38 x 300 x 3600mm,P0000BFV000B
오크(참나무)계단재,P0000BFT,,계단재 38 x 300 x 3600,P0000BFT000A
오크(참나무)계단재,P0000BFT,,계단재 38 x 610 x 3600,P0000BFT000B
오크(참나무)계단재,P0000BFT,,소봉 40 x 40 x 900,P0000BFT000C
오크(참나무)계단재,P0000BFT,,대봉 90 x 90 x 1200,P0000BFT000D
오크(참나무)계단재,P0000BFT,,반달손스침 40 x 70 x 3600,P0000BFT000E
오크(참나무)계단재,P0000BFT,,손스침 70 x 70 x 3600,P0000BFT000F
오크(참나무)계단재,P0000BFT,,계단재 30 x 300 x 3600,P0000BFT000G
애쉬(물푸레나무)계단재,P0000BFS,,계단재 38 x 300 x 3600,P0000BFS000A
애쉬(물푸레나무)계단재,P0000BFS,,계단재 33 x 300 x 3600,P0000BFS000B
애쉬(물푸레나무)계단재,P0000BFS,,계단재 33 x 610 x 3600,P0000BFS000C
애쉬(물푸레나무)계단재,P0000BFS,,계단재 38 x 610 x 3600,P0000BFS000D
애쉬(물푸레나무)계단재,P0000BFS,,소봉 40 x 40 x 900,P0000BFS000E
애쉬(물푸레나무)계단재,P0000BFS,,대봉 90 x 90 x 1200,P0000BFS000F
애쉬(물푸레나무)계단재,P0000BFS,,반달손스침 38 x 70 x 3600,P0000BFS000G
애쉬(물푸레나무)계단재,P0000BFS,,손스침 60 x 70 x 3600,P0000BFS000H
멀바우계단재,P0000BFR,,계단판 30 x 300 x 3600,P0000BFR000A
멀바우계단재,P0000BFR,,계단판 38 x 300 x 3600,P0000BFR000B
멀바우계단재,P0000BFR,,소봉 40 x 40 x 900,P0000BFR000C
멀바우계단재,P0000BFR,,대봉 90 x 90 x 1200,P0000BFR000D
멀바우계단재,P0000BFR,,반달손스침 40 x 70 x 3600,P0000BFR000E
멀바우계단재,P0000BFR,,손스침 60 x 70 x 3600,P0000BFR000F
라디에타파인계단재,P0000BFP,,계단판 30 x 300 x 3600,P0000BFP000A
라디에타파인계단재,P0000BFP,,계단판 33 x 300 x 3600,P0000BFP000B
라디에타파인계단재,P0000BFP,,계단판 33 x 610 x 3600,P0000BFP000C
라디에타파인계단재,P0000BFP,,계단판 38 x 300 x 3600,P0000BFP000D
라디에타파인계단재,P0000BFP,,계단판 38 x 300 x 4200,P0000BFP000E
라디에타파인계단재,P0000BFP,,계단판 38 x 610 x 3600,P0000BFP000F
라디에타파인계단재,P0000BFP,,소봉 40 x 40 x 900,P0000BFP000G
라디에타파인계단재,P0000BFP,,대봉 90 x 90 x 1200,P0000BFP000H
라디에타파인계단재,P0000BFP,,반봉(반쪽대봉) 45 x 90 x 1200,P0000BFP000I
라디에타파인계단재,P0000BFP,,반달손스침 40 x 70 x 3600,P0000BFP000J
라디에타파인계단재,P0000BFP,,식빵손스침 60 x 70 x 3600,P0000BFP000K
레드파인계단재,P0000BFO,,계단판 30 x 610 x 3600,P0000BFO000A
레드파인계단재,P0000BFO,,계단판 33 x 300 x 3600,P0000BFO000B
레드파인계단재,P0000BFO,,계단판 38 x 300 x 3600,P0000BFO000C
레드파인계단재,P0000BFO,,계단판 38 x 300 x 4200,P0000BFO000D
레드파인계단재,P0000BFO,,계단판 38 x 610 x 3600,P0000BFO000E
레드파인계단재,P0000BFO,,소봉 40 x 40 x 900,P0000BFO000F
레드파인계단재,P0000BFO,,대봉 90 x 90 x 1200,P0000BFO000G
레드파인계단재,P0000BFO,,반쪽대봉 45 x 90 x 1200,P0000BFO000H
레드파인계단재,P0000BFO,,반달손스침 40 x 70 x 3600,P0000BFO000I
레드파인계단재,P0000BFO,,손스침 60 x 70 x 3600,P0000BFO000J
석고본드석고보드용 접착재 25Kg 1포,P0000BFN,(1)800석고본드,집본드 25Kg 1포,P0000BFN000A
KCC차음 석고보드,P0000BFG,(1)200국산2차음1236,12.5 x 900 x 1800mm,P0000BFG000A
GS건설자이 천연 방화석고보드,P0000BFF,(1)200자이03방화1236,12.5T x 900 x 1800 (1236),P0000BFF000A
KCC방화 석고보드,P0000BFE,(1)200하국산방화1236,12.5T x 900 x 1800,P0000BFE000A
스프러스 집성판솔리드,P0000BFB,,12T x 1220 x 2440,P0000BFB000A
스프러스 집성판솔리드,P0000BFB,,15T x 1220 x 2440,P0000BFB000B
스프러스 집성판솔리드,P0000BFB,,18T x 1220 x 2440,P0000BFB000C
스프러스 집성판솔리드,P0000BFB,,24T x 1220 x 2440,P0000BFB000D
스프러스 집성판솔리드,P0000BFB,,30T x 1220 x 2440,P0000BFB000E
스프러스 집성판솔리드,P0000BFB,,45T x 1220 x 2440,P0000BFB000F
스프러스 집성판솔리드,P0000BFB,,주문재 상품,P0000BFB000G
라디에타파인솔리드,P0000BFA,,12T x 1220 x 2440 (양면유절),P0000BFA000A
라디에타파인솔리드,P0000BFA,,15T x 1220 x 2440 (양면유절),P0000BFA000B
라디에타파인솔리드,P0000BFA,,18T x 1220 x 2440 (양면유절),P0000BFA000C
라디에타파인솔리드,P0000BFA,,24T x 1220 x 2440 (양면유절),P0000BFA000D
라디에타파인솔리드,P0000BFA,,30T x 1220 x 2440 (양면유절),P0000BFA000E
라디에타파인솔리드,P0000BFA,,12T x 1220 x 2440 (양면무절),P0000BFA000F
라디에타파인솔리드,P0000BFA,,15T x 1220 x 2440 (양면무절),P0000BFA000G
라디에타파인솔리드,P0000BFA,,18T x 1220 x 2440 (양면무절),P0000BFA000H
라디에타파인솔리드,P0000BFA,,24T x 1220 x 2440 (양면무절),P0000BFA000I
라디에타파인솔리드,P0000BFA,,30T x 1220 x 2440 (양면무절),P0000BFA000J
라디에타파인솔리드,P0000BFA,,12T x 1220 x 2440 (일면무절),P0000BFA000K
라디에타파인솔리드,P0000BFA,,15T x 1220 x 2440 (일면무절),P0000BFA000L
라디에타파인솔리드,P0000BFA,,18T x 1220 x2440 (일면무절),P0000BFA000M
라디에타파인솔리드,P0000BFA,,24T x 1220 x 2440 (일면무절),P0000BFA000N
라디에타파인솔리드,P0000BFA,,30T x 1220 x 2440 (일면무절),P0000BFA000O
삼나무 집성판솔리드,P0000BEZ,,12T x 1220 x 2440,P0000BEZ000A
삼나무 집성판솔리드,P0000BEZ,,15T x 1220 x 2440,P0000BEZ000B
삼나무 집성판솔리드,P0000BEZ,,18T x 1220 x 2440,P0000BEZ000C
삼나무 집성판솔리드,P0000BEZ,,24T x 1220 x 2440,P0000BEZ000D
삼나무 집성판솔리드,P0000BEZ,,30T x 1220 x 2440,P0000BEZ000E
삼나무 집성판솔리드,P0000BEZ,,18T x 300 x 2440,P0000BEZ000F
레드파인 집성판솔리드,P0000BEY,,12T x 1220 x 2440 (솔),P0000BEY000A
레드파인 집성판솔리드,P0000BEY,,15T x 1220 x 2440 (솔),P0000BEY000B
레드파인 집성판솔리드,P0000BEY,,18T x 1220 x 2440 (솔),P0000BEY000C
레드파인 집성판솔리드,P0000BEY,,24T x 1220 x 2440 (솔),P0000BEY000D
레드파인 집성판솔리드,P0000BEY,,30T x 1220 x 2440 (솔),P0000BEY000E
레드파인 집성판솔리드,P0000BEY,,-----,P0000BEY000F
레드파인 집성판솔리드,P0000BEY,,특가할인,P0000BEY000G
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,12T x 1220 x 2440 (유절),P0000BEX000A
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,15T x 1220 x 2440 (유절),P0000BEX000B
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,18T x 1220 x 2440 (유절),P0000BEX000C
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,24T x 1220 x 2440 (유절),P0000BEX000D
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,30T x 1220 x 2440 (유절),P0000BEX000E
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,--------,P0000BEX000F
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,15T x 1220 x 2440 (무절),P0000BEX000G
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,18T x 1220 x 2440 (무절),P0000BEX000H
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,24T x 1220 x 2440 (무절),P0000BEX000I
히노끼(편백) 집성판솔리드(유절/무절),P0000BEX,,주문재상품,P0000BEX000J
라왕 집성판사이드핑거,P0000BEW,,18T x 1220 x 2440,P0000BEW000A
라왕 집성판사이드핑거,P0000BEW,,-------------------,P0000BEW000B
라왕 집성판사이드핑거,P0000BEW,,12T x 910 x 2400,P0000BEW000C
라왕 집성판사이드핑거,P0000BEW,,15T x 910 x 2400,P0000BEW000D
라왕 집성판사이드핑거,P0000BEW,,18T x 910 x 2400,P0000BEW000E
라왕 집성판사이드핑거,P0000BEW,,24T x 910 x 2400,P0000BEW000F
라왕 집성판사이드핑거,P0000BEW,,30T x 910 x 2400,P0000BEW000G
오크 집성판사이드핑거,P0000BEV,,12T x 915 x 2300,P0000BEV000A
오크 집성판사이드핑거,P0000BEV,,15T x 915 x 2300,P0000BEV000B
오크 집성판사이드핑거,P0000BEV,,18T x 915 x 2300,P0000BEV000C
오크 집성판사이드핑거,P0000BEV,,24T x 915 x 2300,P0000BEV000D
오크 집성판사이드핑거,P0000BEV,,30T x 915 x 2300,P0000BEV000E
오크 집성판사이드핑거,P0000BEV,,-------------------,P0000BEV000F
오크 집성판사이드핑거,P0000BEV,,15T x 1220 x 2440,P0000BEV000G
오크 집성판사이드핑거,P0000BEV,,18T x 1220 x 2440,P0000BEV000H
오크 집성판사이드핑거,P0000BEV,,24T x 1220 x 2440,P0000BEV000I
오크 집성판사이드핑거,P0000BEV,,30T x 1220 x 2440,P0000BEV000J
오크 집성판사이드핑거,P0000BEV,,10장 이상 구매시 추가할인,P0000BEV000K
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,15T x 1220 x 2440 (유절),P0000BEU000A
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,18T x 1220 x 2440 (유절),P0000BEU000B
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,24T x 1220 x 2440 (유절),P0000BEU000C
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,30T x 1220 x 2440 (유절),P0000BEU000D
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,------------------,P0000BEU000E
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,15T x 1220 x 2440 (무절),P0000BEU000F
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,18T x 1220 x 2440 (무절),P0000BEU000G
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,24T x 1220 x 2440 (무절),P0000BEU000H
아카시아 집성판사이드핑거(유절&무절),P0000BEU,,30T x 1220 x 2440 (무절),P0000BEU000I
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,12T x 1220 x 2440 (유절),P0000BET000A
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,15T x 1220 x 2440 (유절),P0000BET000B
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,18T x 1220 x 2440 (유절),P0000BET000C
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,24T x 1220 x 2440 (유절),P0000BET000D
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,30T x 1220 x 2300 (유절),P0000BET000E
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,12T x 1220 x 2440 (무절),P0000BET000F
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,15T x 1220 x 2440 (무절),P0000BET000G
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,18T x 1220 x 2440 (무절),P0000BET000H
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,24T x 1220 x 2440 (무절),P0000BET000I
히노끼(편백) 집성판사이드핑거(유절/무절),P0000BET,,30T x 1220 x 2440 (무절),P0000BET000J
고무나무 집성판탑핑거,P0000BES,,(싸이드핑거) 12T x 1220 x 2440,P0000BES000A
고무나무 집성판탑핑거,P0000BES,,(싸이드핑거) 15T x 1220 x 2440,P0000BES000B
고무나무 집성판탑핑거,P0000BES,,(싸이드핑거) 18T x 1220 x 2440,P0000BES000C
고무나무 집성판탑핑거,P0000BES,,(싸이드핑거) 24T x 1220 x 2440,P0000BES000D
고무나무 집성판탑핑거,P0000BES,,(싸이드핑거) 30T x 1220 x 2440,P0000BES000E
고무나무 집성판탑핑거,P0000BES,,(탑핑거) 12T x 1220 x 2440,P0000BES000F
고무나무 집성판탑핑거,P0000BES,,(탑핑거) 15T x 1220 x 2440,P0000BES000G
고무나무 집성판탑핑거,P0000BES,,(탑핑거) 18T x 1220 x 2440,P0000BES000H
고무나무 집성판탑핑거,P0000BES,,(탑핑거) 24T x 1220 x 2440,P0000BES000I
고무나무 집성판탑핑거,P0000BES,,(탑핑거) 30T x 1220 x 2440,P0000BES000J
버치(자작나무) 집성판사이드핑거,P0000BER,,18T x 1220 x 2440,P0000BER000A
버치(자작나무) 집성판사이드핑거,P0000BER,,24T x 1220 x 2440,P0000BER000B
버치(자작나무) 집성판사이드핑거,P0000BER,,30T x 1220 x 2440,P0000BER000C
브라운 애쉬 집성판사이드핑거,P0000BEQ,,12T x 915 x 2300,P0000BEQ000A
브라운 애쉬 집성판사이드핑거,P0000BEQ,,15T x 915 x 2300,P0000BEQ000B
브라운 애쉬 집성판사이드핑거,P0000BEQ,,18T x 915 x 2300,P0000BEQ000C
브라운 애쉬 집성판사이드핑거,P0000BEQ,,24T x 915 x 2300,P0000BEQ000D
브라운 애쉬 집성판사이드핑거,P0000BEQ,,30T x 915 x 2300,P0000BEQ000E
브라운 애쉬 집성판사이드핑거,P0000BEQ,,-------------------,P0000BEQ000F
브라운 애쉬 집성판사이드핑거,P0000BEQ,,15T x 1220 x 2440,P0000BEQ000G
브라운 애쉬 집성판사이드핑거,P0000BEQ,,18T x 1220 x 2440,P0000BEQ000H
브라운 애쉬 집성판사이드핑거,P0000BEQ,,24T x 1220 x 2440,P0000BEQ000I
브라운 애쉬 집성판사이드핑거,P0000BEQ,,30T x 1220 x 2440,P0000BEQ000J
라디에타파인 집성판탑핑거,P0000BEO,,12T x 915 x 2300,P0000BEO000A
라디에타파인 집성판탑핑거,P0000BEO,,15T x 915 x 2300,P0000BEO000B
라디에타파인 집성판탑핑거,P0000BEO,,18T x 915 x 2300,P0000BEO000C
라디에타파인 집성판탑핑거,P0000BEO,,24T x 915 x 2300,P0000BEO000D
라디에타파인 집성판탑핑거,P0000BEO,,30T x 915 x 2300,P0000BEO000E
라디에타파인 집성판탑핑거,P0000BEO,(1)302라디12탑,12T x 1220 x 2440,P0000BEO000F
라디에타파인 집성판탑핑거,P0000BEO,(1)302라디15탑,15T x 1220 x 2440,P0000BEO000G
라디에타파인 집성판탑핑거,P0000BEO,(1)302라디18탑,18T x 1220 x 2440,P0000BEO000H
라디에타파인 집성판탑핑거,P0000BEO,(1)302라디24탑,24T x 1220 x 2440,P0000BEO000I
라디에타파인 집성판탑핑거,P0000BEO,(1)302라디30탑,30T x 1220 x 2440,P0000BEO000J
마감용 구조재인테리어등급,P0000BEL,(1)100구조재A14,1” X 4” (19mm X 89mm),P0000BEL000A
마감용 구조재인테리어등급,P0000BEL,(1)100구조재A16,1” X 6” (19mm X 140mm),P0000BEL000B
마감용 구조재인테리어등급,P0000BEL,(1)100구조재A18,1” X 8” (19mm X 184mm),P0000BEL000C
마감용 구조재인테리어등급,P0000BEL,(1)100구조재B110,1” X 10” (19mm X 235mm),P0000BEL000D
마감용 구조재인테리어등급,P0000BEL,(1)100구조재B112,1” X 12” (19mm X 286mm),P0000BEL000E
마감용 구조재인테리어등급,P0000BEL,,----------,P0000BEL000F
마감용 구조재인테리어등급,P0000BEL,(1)100구조재C22,2” X 2” (38mm X 38mm),P0000BEL000G
마감용 구조재인테리어등급,P0000BEL,(1)100구조재C24,2” X 4” (38mm X 89mm),P0000BEL000H
마감용 구조재인테리어등급,P0000BEL,(1)100구조재C26,2” X 6” (38mm X 140mm),P0000BEL000I
마감용 구조재인테리어등급,P0000BEL,(1)100구조재C28,2” X 8” (38mm X 184mm),P0000BEL000J
마감용 구조재인테리어등급,P0000BEL,(2)100제일구조210,2” X 10” (38mm X 235mm),P0000BEL000K
마감용 구조재인테리어등급,P0000BEL,(1)100구조재D212,2” X 12” (38mm X 286mm),P0000BEL000L
마감용 구조재인테리어등급,P0000BEL,,-----------,P0000BEL000M
마감용 구조재인테리어등급,P0000BEL,(2)100제일구조재E60,60mm X 60mm,P0000BEL000N
마감용 구조재인테리어등급,P0000BEL,(1)100구조재E70각,70mm X 70mm,P0000BEL000O
마감용 구조재인테리어등급,P0000BEL,(1)100구조재E90각,90mm X 90mm,P0000BEL000P
OSB (내장용)1220 x 2440mm,P0000BEK,(1)300OSB8내,8T X 1220 X 2440 (내장용),P0000BEK000A
OSB (내장용)1220 x 2440mm,P0000BEK,(1)300OSB11내,11.1T X 1220 X 2440 (내장용),P0000BEK000B
OSB (내장용)1220 x 2440mm,P0000BEK,(2)300씨맥OSB18,18.3T X 1220 X 2440 (바닥용),P0000BEK000C
방부목각재/데크재,P0000BEI,(1)100방부목3140,방부목 데크 25mm X 140mm,P0000BEI000A
방부목각재/데크재,P0000BEI,(1)100방부목1120,방부목 데크 21mm X 120mm,P0000BEI000B
방부목각재/데크재,P0000BEI,(1)100방부목295,방부목 데크 15mm X 95mm,P0000BEI000C
방부목각재/데크재,P0000BEI,(1)100방부목4A22,2” X 2” (38mm X 38mm),P0000BEI000D
방부목각재/데크재,P0000BEI,(1)100방부목524,2” X 4” (38mm X 89mm),P0000BEI000E
방부목각재/데크재,P0000BEI,(1)100방부목626,2” X 6” (38mm X 140mm),P0000BEI000F
방부목각재/데크재,P0000BEI,(2)100방부목728,2” X 8” (38mm X 184mm),P0000BEI000G
방부목각재/데크재,P0000BEI,(2)100방부목8210,2” X 10” (38mm X 235mm),P0000BEI000H
방부목각재/데크재,P0000BEI,(1)100방부목8212,2” X 12” (38mm X 285mm),P0000BEI000I
방부목각재/데크재,P0000BEI,(1)100방부목944,4” X 4” (90mm X 90mm),P0000BEI000J
방부목각재/데크재,P0000BEI,(2)100방부목제일55,5” X 5” 크로바(120mm X 120mm),P0000BEI000K
방부목각재/데크재,P0000BEI,(2)100방부목제일66,6” X 6” 크로바(140mm X 140mm),P0000BEI000L
코아합판1220 x 2440mm,P0000BEH,(1)3001Y코아18알,(연질)알비자 18Tx1220x2440mm,P0000BEH000A
코아합판1220 x 2440mm,P0000BEH,(1)3001Z코아18라,(강질) 라왕 18Tx1220x2440mm,P0000BEH000B
태고합판1220 x 2440mm,P0000BEG,(1)300태고21236,태고 12T x 910 x 1820mm,P0000BEG000A
태고합판1220 x 2440mm,P0000BEG,(1)300태고1248N,태고 12T x 1220 x 2440mm,P0000BEG000B
자작합판1220 x 2440mm,P0000BEF,(1)300A1자작SBB4,자작 합판 4T (S/BB) 러시아,P0000BEF000A
자작합판1220 x 2440mm,P0000BEF,(1)300A2자작SBB6,자작 합판 6T (S/BB) 러시아,P0000BEF000B
자작합판1220 x 2440mm,P0000BEF,(1)300A3자작SBB9,자작 합판 9T (S/BB) 러시아,P0000BEF000C
자작합판1220 x 2440mm,P0000BEF,(1)300A4자작SBB12,자작 합판 12T (S/BB) 러시아,P0000BEF000D
자작합판1220 x 2440mm,P0000BEF,(1)300A5자작SBB15,자작 합판 15T (S/BB) 러시아,P0000BEF000E
자작합판1220 x 2440mm,P0000BEF,(1)300A6자작SBB18,자작 합판 18T (S/BB) 러시아,P0000BEF000F
자작합판1220 x 2440mm,P0000BEF,(2)300제일자작2148,자작 합판 21T (S/BB) 러시아,P0000BEF000G
자작합판1220 x 2440mm,P0000BEF,(2)300제일자작2448,자작 합판 24T (S/BB) 러시아,P0000BEF000H
자작합판1220 x 2440mm,P0000BEF,(2)300제일자작3048,자작 합판 30T (S/BB) 러시아,P0000BEF000I
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001A2748BB,2.7T x 1220 x 2440 동남아산 (일반),P0000BEE000A
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001D4648알,4.6T x 1220 x 2440 동남아산 (알비자),P0000BEE000B
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001E8548BB,8.5T x 1220 x 2440 동남아산 (고급),P0000BEE000C
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001C4648BB,4.6T x 1220 x 2440 동남아산 (고급),P0000BEE000D
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001G38548콤,8.5T x 1220 x 2440 콤비,P0000BEE000E
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001J11548콤,11.5T x 1220 x 2440 콤비,P0000BEE000G
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001K11548다,11.5T x 1220 x 2440 동남아산 (일반),P0000BEE000H
일반합판(수입산) 4*81220x2440mm,P0000BEE,(1)3001H11548BB,11.5T x 1220 x 2440 동남아산 (고급),P0000BEE000I
